Mass of 15  Washers (kg),0.06kg,Average Mass of Washer (kg),0.004kg
Procedure 1,Procedure 1,Procedure 1,Procedure 1
Height (m): 1.25m,Height (m): 1.25m,Height (m): 1.25m,Height (m): 1.25m
Trial,Trial,Time (s),Time (s)
1,1,3.62s,3.62s
2,2,3.70s,3.70s
3,3,3.55s,3.55s
4,4,3.82s,3.82s
5,5,3.65s,3.65s
Average,Average,3.67s,3.67s
Average Acceleration (m/s2),Average Acceleration (m/s2),0.34m/s^2,0.34m/s^2
Procedure 2,Procedure 2,Procedure 2,Procedure 2
Height (m): 1.45m,Height (m): 1.45m,Height (m): 1.45m,Height (m): 1.45m
Trial,Trial,Time (s),Time (s)
1,1,1.30s,1.30s
2,2,1.15s,1.15s